date,true,pred
2018-11-02,117.684,119.34099574793935
2018-11-03,120.456,118.64463551918365
2018-11-04,121.753,121.25262717947308
2018-11-05,130.77100000000002,122.67554545765215
2018-11-06,129.829,131.3900548792407
2018-11-07,135.832,130.80356523490136
2018-11-08,134.178,136.1597336764416
2018-11-09,130.41299999999998,134.8592840693921
2018-11-10,129.339,130.8074395967337
2018-11-11,133.067,129.67738348512222
2018-11-12,126.982,133.45867260752695
2018-11-13,111.06,127.74136762944543
2018-11-14,109.911,111.74870160511365
2018-11-15,109.649,110.23367294680654
2018-11-16,111.363,110.73753575504955
2018-11-17,113.029,112.45666205114703
2018-11-18,98.8935,114.17115045316439
2018-11-19,84.4963,100.36650581205375
2018-11-20,85.8071,85.61061790564892
2018-11-21,78.8567,86.97252414624482
2018-11-22,77.5978,80.98208491582011
2018-11-23,67.7522,79.37997583050263
2018-11-24,70.2795,70.07235286962813
2018-11-25,66.2504,72.16699696935729
2018-11-26,73.3211,68.84880909835677
2018-11-27,79.9494,75.44053001461964
2018-11-28,87.9581340697,82.4248485650969
2018-11-29,80.9483880192,90.17154970419098
2018-11-30,80.3275319798,83.34925909481258
2018-12-01,79.1573922397,82.02617019388231
2018-12-02,70.7984256542,81.21382585335822
2018-12-03,74.6912170386,73.0384272133091
2018-12-04,66.420594498,76.52647515136547
2018-12-05,58.8114495619,69.05481622840132
2018-12-06,59.3338581709,61.067458527073285
2018-12-07,57.5770889299,61.66172986494528
2018-12-08,61.0882166579,60.358081528615095
2018-12-09,56.6782092245,63.6794240980675
2018-12-10,54.3074961454,59.62145680344079
2018-12-11,55.5102507544,56.93492892604603
2018-12-12,51.6771195151,58.2280214554447
2018-12-13,49.2236714266,54.66209557049112
2018-12-14,50.208889183800004,52.03781588544401
2018-12-15,51.4076385949,53.08565903782461
2018-12-16,56.4205408383,54.42359469456816
2018-12-17,58.566525455299995,59.31718708044296
2018-12-18,57.544471995,61.57142571596668
2018-12-19,66.1644327943,60.41401806898223
2018-12-20,61.6752945513,68.66955220110603
2018-12-21,63.4084627074,64.72278309342593
2018-12-22,64.992715494,65.77665216936482
2018-12-23,68.3379998386,67.627348672381
2018-12-24,61.248922309399994,70.872934133616
2018-12-25,61.5146758281,64.0238274889332
2018-12-26,56.3454714872,63.79955717095312
2018-12-27,63.1697500258,59.128817807977086
2018-12-28,60.322609371000006,65.54482248734166
2018-12-29,59.6560516087,63.33172303029624
2018-12-30,56.5439335611,62.20829265693369
2018-12-31,59.7477311222,59.28743951420526
