date,true,pred
2018-11-02,154.701,156.02941928619464
2018-11-03,162.958,155.3684619987836
2018-11-04,164.227,164.8345875138047
2018-11-05,170.472,164.1188276224785
2018-11-06,166.44799999999995,173.78574731724603
2018-11-07,164.28799999999995,166.25269340805505
2018-11-08,159.991,166.10172612537463
2018-11-09,161.72,160.8543268607632
2018-11-10,160.105,162.98185697574186
2018-11-11,163.046,162.05205354948657
2018-11-12,161.173,162.7871807499882
2018-11-13,143.654,161.5785822199761
2018-11-14,138.44299999999998,143.59839681164948
2018-11-15,137.056,140.73966097637876
2018-11-16,132.627,137.04484305502686
2018-11-17,132.77700000000002,136.73478504719327
2018-11-18,109.687,134.9970274374902
2018-11-19,104.578,110.03405734585043
2018-11-20,114.312,106.29627266393915
2018-11-21,103.339,113.871594822898
2018-11-22,99.3182,110.07256521866059
2018-11-23,92.6627,105.58974551008161
2018-11-24,91.4475,91.12428329647166
2018-11-25,88.9283,94.69923256663273
2018-11-26,89.1251,92.58021098265844
2018-11-27,99.5145,96.30924963001927
2018-11-28,96.66284468030001,103.35048412299037
2018-11-29,91.8704052933,96.87323889462681
2018-11-30,95.3472586546,98.26581687898184
2018-12-01,93.0418963842,97.77087008184874
2018-12-02,84.82066441399999,97.0534663266414
2018-12-03,85.48541910770001,90.89567510180461
2018-12-04,77.9028558135,89.21686209719579
2018-12-05,66.0195460728,80.5399088652394
2018-12-06,67.6273667424,69.33910989870108
2018-12-07,69.0884048442,71.45483298756348
2018-12-08,76.5055148247,72.45449391746382
2018-12-09,68.7976790414,81.07034297641611
2018-12-10,64.1123424261,72.46638975350314
2018-12-11,65.4843261386,69.13149327798631
2018-12-12,61.210477830600006,67.87056533215105
2018-12-13,59.69243025,66.8628386612165
2018-12-14,62.4850545583,68.45226354690037
2018-12-15,63.1426164537,65.45810692141526
2018-12-16,71.2811537976,66.92748044528123
2018-12-17,73.4985174082,74.4919275693998
2018-12-18,74.41620171779999,78.3043315333688
2018-12-19,99.2290332742,80.02653484856492
2018-12-20,85.6248365222,102.26225593069435
2018-12-21,87.5841771464,89.72119904291392
2018-12-22,90.2259306239,95.69258257400008
2018-12-23,92.4437139217,90.14606505616855
2018-12-24,83.9568614594,97.00533264994776
2018-12-25,84.5489686863,89.97060315845378
2018-12-26,76.4044807419,86.81641212267516
2018-12-27,83.8210612739,79.72307684633824
2018-12-28,80.34595012439999,83.5199250443455
2018-12-29,81.7931947546,86.43267435998915
2018-12-30,79.06443800619998,85.85964420421323
2018-12-31,81.0511418582,81.58376903918531
