date,true,pred
2018-11-02,200.186,201.83305150826132
2018-11-03,207.486,201.41770900923757
2018-11-04,209.091,208.6243824025307
2018-11-05,218.452,210.89092456167472
2018-11-06,217.183,220.00062346791367
2018-11-07,212.231,219.15210026871338
2018-11-08,210.074,213.1612288906679
2018-11-09,212.533,210.2807124594113
2018-11-10,211.34,213.04691029404194
2018-11-11,210.418,212.40759917255224
2018-11-12,206.826,211.23637292587594
2018-11-13,181.397,207.498519990093
2018-11-14,180.806,181.3578502933442
2018-11-15,175.17700000000005,178.79597515888932
2018-11-16,174.00099999999995,175.21725692496196
2018-11-17,177.067,174.48133063564404
2018-11-18,149.175,177.9858334689857
2018-11-19,130.339,150.11339395359497
2018-11-20,136.701,128.18403837231375
2018-11-21,126.706,135.15542071160144
2018-11-22,123.296,128.08862893310467
2018-11-23,113.494,123.87229771258079
2018-11-24,116.45,114.15725316123684
2018-11-25,108.335,116.93246426458758
2018-11-26,110.01,109.8488748352589
2018-11-27,122.438,110.94013672837036
2018-11-28,117.542645204,124.32526345937913
2018-11-29,113.171421096,120.60664187855005
2018-11-30,118.635558644,114.62789670938726
2018-12-01,116.388899329,119.7591374177224
2018-12-02,108.925017829,118.49497643967612
2018-12-03,110.214189589,110.39030774936975
2018-12-04,102.475555559,111.02018982548381
2018-12-05,91.76105615659999,103.93664519384605
2018-12-06,93.2945640148,92.47701362388987
2018-12-07,92.15963968770001,93.66545075213482
2018-12-08,95.1420594843,93.80496439159614
2018-12-09,91.6856567551,97.00725775656547
2018-12-10,88.94530321290001,93.78764221037932
2018-12-11,90.5933019065,90.47824356931909
2018-12-12,86.5393148885,92.08808666138363
2018-12-13,84.30829593,88.45141096980018
2018-12-14,84.4408095289,85.77537766127391
2018-12-15,85.2620969271,85.98266418431288
2018-12-16,95.1338271163,87.16212556715762
2018-12-17,101.112455798,97.37468392789079
2018-12-18,101.268575225,104.28832524525043
2018-12-19,116.21687011,104.14586959614176
2018-12-20,109.496233553,118.55848261986813
2018-12-21,116.75949916100001,112.81876544308447
2018-12-22,130.765259805,118.39083966008661
2018-12-23,140.23800256,133.33895588564656
2018-12-24,129.84435176,143.90820331670838
2018-12-25,131.86562737399998,132.7472451041022
2018-12-26,116.575910514,132.58966088300517
2018-12-27,137.647013306,117.68586813999902
2018-12-28,138.01833477899999,138.01309558477888
2018-12-29,139.859452892,141.46775806542226
2018-12-30,133.368263445,142.20479311011192
2018-12-31,140.819413158,134.9557565301836
