date,true,pred
2018-11-02,0.0227005,0.02303432847016636
2018-11-03,0.023273,0.022873511545482925
2018-11-04,0.0237451,0.023393486084928396
2018-11-05,0.024421400000000003,0.023914428746124552
2018-11-06,0.0237743,0.024583624427551014
2018-11-07,0.0231145,0.023954993299263656
2018-11-08,0.023027900000000004,0.023184850530817883
2018-11-09,0.0230232,0.023073906517361156
2018-11-10,0.0228112,0.023127261904952498
2018-11-11,0.0224714,0.022940362801254215
2018-11-12,0.0219985,0.022589052720217846
2018-11-13,0.01936,0.02210888807415332
2018-11-14,0.0190763,0.019495525889904934
2018-11-15,0.0188959,0.019028331909010366
2018-11-16,0.0188085,0.019036159069625906
2018-11-17,0.0188487,0.019019931680313244
2018-11-18,0.015803,0.01907246160702125
2018-11-19,0.0138394,0.01608258742190401
2018-11-20,0.0147264,0.013877694391278181
2018-11-21,0.0138763,0.014809373509753346
2018-11-22,0.013669799999999998,0.01427107963808934
2018-11-23,0.012548299999999998,0.013973836757838495
2018-11-24,0.012373,0.012891945559447773
2018-11-25,0.0116606,0.012657029766232118
2018-11-26,0.0118554,0.012028594512428206
2018-11-27,0.0146494,0.012198895356596493
2018-11-28,0.0156945422225,0.015030122841616778
2018-11-29,0.0143903056218,0.016308732057940967
2018-11-30,0.0151837552221,0.0148982109466823
2018-12-01,0.014935238567700003,0.015419496283431516
2018-12-02,0.013867604395299998,0.015316828268325759
2018-12-03,0.0144122322954,0.014213838390834984
2018-12-04,0.0139520913838,0.01465686889960224
2018-12-05,0.0128168658849,0.014337349478008313
2018-12-06,0.0132248272438,0.013162134128683913
2018-12-07,0.0134669572631,0.013486468268034355
2018-12-08,0.0136252183078,0.013857979967033219
2018-12-09,0.0133167284387,0.014032242180653593
2018-12-10,0.0132913510043,0.013713582122385335
2018-12-11,0.0133528875929,0.013643650732290253
2018-12-12,0.013058181054,0.013721545358244418
2018-12-13,0.0127753370494,0.013445674336000508
2018-12-14,0.012784424263,0.013136804207956543
2018-12-15,0.0130219180005,0.013141708727912977
2018-12-16,0.0142208740296,0.01340531549970972
2018-12-17,0.0148309765824,0.014615050992320694
2018-12-18,0.0156652916841,0.015303850123899648
2018-12-19,0.017384616422700002,0.016084065398070464
2018-12-20,0.0200210376627,0.017777917803333914
2018-12-21,0.0209664070003,0.020451471313086684
2018-12-22,0.020911034634,0.021465050291020436
2018-12-23,0.0210698832479,0.021252394763836002
2018-12-24,0.0200075598471,0.02126854985825294
2018-12-25,0.0204474671912,0.020215665559753727
2018-12-26,0.018487628222,0.020545835844855167
2018-12-27,0.0208680357108,0.018727432177041446
2018-12-28,0.020003961241,0.02089646616272997
2018-12-29,0.01994704531,0.020389964426088692
2018-12-30,0.0188260307311,0.020126261652808963
2018-12-31,0.019561267633,0.019022570615549454
