date,true,pred
2018-11-02,622.811,617.2880024379591
2018-11-03,645.135,620.2720278436532
2018-11-04,661.672,642.9344903090073
2018-11-05,673.715,656.9284017617709
2018-11-06,678.015,668.5493142136578
2018-11-07,663.65,672.4051411714416
2018-11-08,653.514,657.7297087102394
2018-11-09,658.253,649.5132990276361
2018-11-10,698.332,654.8868547319897
2018-11-11,696.4739999999998,695.0389545031932
2018-11-12,696.038,687.8693605822866
2018-11-13,571.851,690.2837827903214
2018-11-14,552.7959999999998,561.7306922693999
2018-11-15,565.018,559.2008509617945
2018-11-16,574.217,566.4068943391721
2018-11-17,571.4680000000002,572.9907428511299
2018-11-18,404.237,569.6666158805489
2018-11-19,423.235,397.6172783441439
2018-11-20,452.314,440.27578564693385
2018-11-21,403.516,456.8476261296256
2018-11-22,373.802,403.56321536284236
2018-11-23,337.841,381.4753570350818
2018-11-24,320.1020000000001,345.2110279692815
2018-11-25,322.914,329.90821259518486
2018-11-26,328.05800000000005,332.936568375555
2018-11-27,380.071,336.71482862526346
2018-11-28,377.33461075300005,390.0010899420825
2018-11-29,360.04190470699996,380.2947755318158
2018-11-30,386.248105894,366.16638000751936
2018-12-01,397.107286835,395.50013043125773
2018-12-02,384.91292167,401.9779744198402
2018-12-03,420.572434083,389.56085083908823
2018-12-04,367.979877738,428.8536383050079
2018-12-05,342.990267529,368.7012273845469
2018-12-06,340.737905709,352.45574041767634
2018-12-07,342.126360692,350.1669568019089
2018-12-08,344.364862846,350.28965524707166
2018-12-09,321.91409638700003,352.26674266433713
2018-12-10,325.555792958,328.8176557825589
2018-12-11,318.526337754,335.843286048777
2018-12-12,340.164335996,326.6044223871519
2018-12-13,339.319686338,350.2039781566875
2018-12-14,338.840034907,345.8732781639684
2018-12-15,357.931190655,346.90209036562294
2018-12-16,392.006712245,366.66667027379304
2018-12-17,435.75747390199996,399.24607559666333
2018-12-18,425.689409865,441.03260657214054
2018-12-19,436.456479763,426.76830566976815
2018-12-20,425.86446519099997,442.1511776388786
2018-12-21,424.61252030400004,429.044313926289
2018-12-22,447.66438011300005,429.9178022175804
2018-12-23,479.106558876,453.25318362539343
2018-12-24,453.47841111599996,482.50867987517194
2018-12-25,444.137070172,453.1336494196774
2018-12-26,436.37144710800004,449.06686717492215
2018-12-27,482.310231371,440.65919929352356
2018-12-28,471.33072595,488.65928222518494
2018-12-29,477.153588002,470.4259901936887
2018-12-30,453.979555232,480.96195305426113
2018-12-31,461.394706441,455.4628789115616
