date,true,pred
2018-11-02,477.994,465.0581006586448
2018-11-03,560.183,483.2830943982899
2018-11-04,558.466,561.7946297861486
2018-11-05,628.507,564.9590444397431
2018-11-06,617.255,627.2477117185772
2018-11-07,574.434,621.4924684458827
2018-11-08,544.419,574.062540605811
2018-11-09,556.499,542.5262211368765
2018-11-10,533.341,555.1210655611261
2018-11-11,516.307,535.5607337267879
2018-11-12,512.41,516.4481286469138
2018-11-13,439.30800000000005,513.0469007240731
2018-11-14,421.32,442.79052314932846
2018-11-15,388.82,420.2507322632938
2018-11-16,387.749,392.4438780415522
2018-11-17,386.252,390.30907214438935
2018-11-18,336.955,391.0587333642552
2018-11-19,223.702,343.0304567707595
2018-11-20,235.951,229.2991551335611
2018-11-21,211.468,236.4779804207363
2018-11-22,207.426,221.49161947519448
2018-11-23,180.689,214.9199223569302
2018-11-24,184.584,190.3171575261679
2018-11-25,182.043,192.4546673356886
2018-11-26,179.063,192.14285534959293
2018-11-27,190.072,188.78348220504714
2018-11-28,180.983424711,199.46427031860742
2018-11-29,173.066890871,191.6235246382452
2018-11-30,172.123306545,182.48309108365893
2018-12-01,172.11340802,181.62931393751828
2018-12-02,159.81825592799999,182.10779575597795
2018-12-03,149.658973213,170.20298806462154
2018-12-04,130.541052469,159.42116131513671
2018-12-05,107.59273784,140.93584770316264
2018-12-06,106.85249495299999,117.92153430572256
2018-12-07,104.04759825299999,116.88080458231964
2018-12-08,109.617948633,115.709602258668
2018-12-09,107.314189131,120.9814829503106
2018-12-10,102.072950015,119.3396773437504
2018-12-11,102.59216028,113.67821069154908
2018-12-12,90.302278335,113.96560764691873
2018-12-13,80.3707530615,102.40642789618738
2018-12-14,77.3657779544,91.80952851993653
2018-12-15,81.6390107943,89.02774650491266
2018-12-16,90.3450726765,93.66841667778291
2018-12-17,105.200765725,102.66566017072992
2018-12-18,128.44801118,117.45988817223412
2018-12-19,194.230971633,140.55833401280313
2018-12-20,194.295604268,205.24525413335567
2018-12-21,196.668576564,208.44398384446248
2018-12-22,197.662818055,206.13435683959446
2018-12-23,182.25966862299998,207.26986669130468
2018-12-24,170.909347319,192.17880249306285
2018-12-25,175.510304934,179.9414317557302
2018-12-26,150.127578414,184.68068735157013
2018-12-27,173.998970772,161.09991232449607
2018-12-28,165.059644615,182.1768110958978
2018-12-29,163.622124959,176.98899755982038
2018-12-30,151.045693919,173.26304334693558
2018-12-31,164.85460488799998,161.54297399158025
