date,open,high,low,close,volumn,marketcap
2018-07-01,455.242004395,457.139007568,446.385009766,453.917999268,1511730048.0,45585861718.1
2018-07-02,453.82400512699996,479.130004883,447.110992432,475.34698486300005,1625789952.0,47747743959.2
2018-07-03,475.38598632800006,483.854003906,462.582000732,464.195007324,1683939968.0,46637067238.7
2018-07-04,464.15100097699997,481.43600463900003,455.184997559,467.31799316400003,1549769984.0,46960391870.5
2018-07-05,467.286987305,483.225006104,464.628997803,474.411987305,1828610048.0,47682968019.5
2018-07-06,474.35699462900004,479.652008057,457.614990234,474.011993408,1627609984.0,47652424063.6
2018-07-07,474.05700683599997,491.66000366199995,466.835998535,491.66000366199995,1358360064.0,49436674024.9
2018-07-08,492.06799316400003,503.19900512699996,488.41699218800005,489.11898803699995,1344560000.0,49191161178.1
2018-07-09,488.87799072300004,490.85198974599996,475.174987793,476.68200683599997,1533799936.0,47950212027.3
2018-07-10,476.161987305,478.31799316400003,433.959991455,434.42401123,1789069952.0,43708241775.1
2018-07-11,434.51501464800003,447.316009521,429.506988525,446.51800537099996,1422470016.0,44934271235.3
2018-07-12,446.50201416,446.50201416,422.809997559,430.07400512699996,1495440000.0,43288294177.4
2018-07-13,430.740997314,442.363006592,430.740997314,434.027008057,1489670016.0,43694988768.9
2018-07-14,434.51098632800006,439.433990479,431.47399902300003,436.085998535,1235820032.0,43911193560.9
2018-07-15,435.882995605,454.00100708,433.92098999,449.850006104,1350160000.0,45306414380.4
2018-07-16,450.424987793,480.65798950199996,446.79800415,480.65798950199996,1858680064.0,48419026521.3
2018-07-17,480.07699585,508.77999877900004,468.915008545,501.00201416,2288100096.0,50478766285.3
2018-07-18,500.838012695,513.432983398,474.35900878900003,480.51300048800005,2371559936.0,48424155623.5
2018-07-19,480.62799072300004,483.239990234,465.141998291,469.61898803699995,2068739968.0,47335899963.0
2018-07-20,469.30700683599997,469.30700683599997,443.69299316400003,450.69799804699994,1821350016.0,45437819521.9
2018-07-21,450.67898559599996,468.08300781199995,445.77600097699997,462.43600463900003,1504310016.0,46630720739.0
2018-07-22,462.437988281,470.89801025400004,458.11898803699995,459.657012939,1338589952.0,46360029756.7
2018-07-23,459.43899536099997,469.76599121099997,449.727996826,450.852996826,1596999936.0,45481301491.0
2018-07-24,451.13598632800006,481.141998291,450.565002441,479.37298584,2287520000.0,48368209917.3
2018-07-25,479.906005859,482.868011475,466.47399902300003,472.493011475,1930780032.0,47683830874.3
2018-07-26,472.33099365199996,483.69601440400004,461.42401123,464.036987305,1621560064.0,46839932192.6
2018-07-27,464.009002686,473.22198486300005,458.290985107,469.665985107,1734259968.0,47417755376.4
2018-07-28,469.678009033,471.593994141,462.98901367199994,466.89801025400004,1531890048.0,47147853886.3
2018-07-29,466.915008545,470.355987549,462.712005615,466.665008545,1631910016.0,47133881665.7
2018-07-30,466.827,467.952,448.641,457.081,2141590000.0,46175217427.0
2018-07-31,457.245,457.245,430.444,433.867,1820680000.0,43839034236.6
2018-08-01,433.869,435.457,410.464,420.747,1888060000.0,42521937217.6
2018-08-02,420.806,425.034,410.309,412.621,1569300000.0,41709183608.4
2018-08-03,412.567,420.549,399.91,418.262,1722340000.0,42287977978.1
2018-08-04,418.237,420.186,403.776,407.252,1466540000.0,41183215694.2
2018-08-05,407.346,413.716,402.432,410.516,1396820000.0,41521715110.2
2018-08-06,410.567,414.54,403.315,406.658,1384880000.0,41139790461.5
2018-08-07,406.801,411.405,376.077,380.215,1828350000.0,38472420232.6
2018-08-08,379.892,380.671,353.7340000000001,356.61300000000006,2016080000.0,36091566801.1
2018-08-09,356.971,370.946,353.6140000000001,365.588,1616610000.0,37007391030.6
2018-08-10,365.776,367.045,329.586,334.176,1699400000.0,33834485092.3
2018-08-11,334.264,334.264,308.488,322.112,1790370000.0,32619681420.3
2018-08-12,320.823,328.59,318.6020000000001,319.57,1625420000.0,32368768331.5
2018-08-13,320.21,323.551,284.934,286.495,1751190000.0,29024490502.9
2018-08-14,286.365,286.365,254.65,278.932,2137850000.0,28263969131.7
2018-08-15,280.387,303.59,280.119,282.3640000000001,1878150000.0,28617473115.7
2018-08-16,282.741,298.476,280.928,288.046,1552970000.0,29199228645.6
2018-08-17,287.683,316.17,287.346,315.7290000000001,1995460000.0,32011921282.7
2018-08-18,316.791,320.446,286.551,295.812,1764020000.0,29998584852.4
2018-08-19,295.67,307.098,291.332,300.834,1447910000.0,30514025773.7
2018-08-20,301.381,304.372,273.511,274.315,1413790000.0,27829775230.8
2018-08-21,273.331,285.97,273.331,281.944,1164120000.0,28609531323.2
2018-08-22,281.968,297.486,264.998,271.341,1507660000.0,27539119678.7
2018-08-23,271.748,279.546,271.09,277.10400000000004,1271160000.0,28129662664.2
2018-08-24,278.111,283.302,273.86,282.967,1450170000.0,28730705349.2
2018-08-25,283.281,283.515,278.471,279.646,1208360000.0,28399212923.0
2018-08-26,279.525,279.525,272.444,275.197,1206650000.0,27953028997.1
2018-08-27,275.35,285.603,273.65,285.603,1406790000.0,29015874948.4
2018-08-28,286.649,297.4,283.572,296.499,1513350000.0,30128902936.5
2018-08-29,296.163,297.071,287.2870000000001,289.312,1474460000.0,29404459724.6
2018-08-30,289.753,291.243,275.211,284.105,1513100000.0,28881058148.3
2018-08-31,284.12,284.551,278.513,283.004,1411910000.0,28774922508.3
2018-09-01,283.496,301.144,283.496,295.341,1546630000.0,30035327410.2
2018-09-02,295.453,298.686,290.926,294.371,1321050000.0,29942718225.1
2018-09-03,295.181,295.591,287.432,289.259,1394490000.0,29428616901.4
2018-09-04,289.297,291.58,284.255,285.723,1554870000.0,29074743100.6
2018-09-05,286.045,288.163,232.331,232.331,2390390000.0,23646371776.6
2018-09-06,231.648,231.755,218.123,230.215,2097310000.0,23435751842.0
2018-09-07,229.535,233.896,217.075,217.203,1678260000.0,22115522904.4
2018-09-08,217.912,220.367,193.259,197.951,1517200000.0,20159309964.3
2018-09-09,198.385,207.666,188.306,196.924,1585980000.0,20058708800.0
2018-09-10,197.851,201.883,189.584,197.079,1502960000.0,20078523983.5
2018-09-11,198.177,198.506,180.596,185.066,1568900000.0,18858381965.7
2018-09-12,185.423,185.587,170.257,183.331,1874850000.0,18685319378.4
2018-09-13,183.679,214.002,183.679,211.354,2330720000.0,21545775837.3
2018-09-14,212.669,222.794,204.871,211.749,2232190000.0,21590366995.5
2018-09-15,209.814,226.604,209.606,223.074,1670490000.0,22749647320.9
2018-09-16,222.803,222.803,211.118,220.58900000000003,1502260000.0,22500748645.5
2018-09-17,221.582,224.261,195.308,197.875,2019910000.0,20187902504.8
2018-09-18,197.095,213.357,195.93400000000003,209.975,1800640000.0,21426628308.9
2018-09-19,209.472,213.871,201.656,209.969,1733330000.0,21430323331.0
2018-09-20,210.288,224.818,207.789,224.591,1782070000.0,22927300807.8
2018-09-21,225.251,248.388,221.567,246.584,2836200000.0,25177561991.2
2018-09-22,247.337,251.196,233.81,240.48,1921820000.0,24559189741.1
2018-09-23,240.992,247.46400000000003,237.857,244.33,1693470000.0,24957339670.0
2018-09-24,244.844,245.108,227.49,228.73,1748740000.0,23368514474.6
2018-09-25,228.327,228.327,206.49,218.505,2120360000.0,22328327983.4
2018-09-26,218.647,221.437,209.113,215.847,1756100000.0,22061164303.3
2018-09-27,215.44,230.607,212.654,228.49400000000003,2030320000.0,23358464738.5
2018-09-28,229.041,231.748,218.669,222.402,2018120000.0,22740233568.0
2018-09-29,221.705,234.014,216.078,231.635,2208720000.0,23688983896.2
2018-09-30,231.329,236.986,228.445,232.848,1765560000.0,23817805502.1
2018-10-01,233.22,234.145,226.945,230.768,1597500000.0,23609728018.1
2018-10-02,231.1,231.167,225.838,227.181,1542080000.0,23247403474.2
2018-10-03,226.407,226.458,213.971,220.489,1683930000.0,22567089085.9
2018-10-04,220.446,226.148,220.09,222.218,1479500000.0,22748580858.8
2018-10-05,222.267,228.319,220.957,227.601,1547330000.0,23304234601.1
2018-10-06,227.552,227.926,224.246,225.12,1505070000.0,23054817089.3
