,date,open,high,low,close,volumn,marketcap
0,"Jan 11, 2019",0.00405793308533,0.00412983455229,0.00393516709297,0.00400560886144,6509319.4431,222129977.124
1,"Jan 10, 2019",0.00479336817466,0.00490309104612,0.0038808700821699998,0.00406842761608,13071385.6665,225613574.503
2,"Jan 09, 2019",0.00438468805574,0.00480328121858,0.004382040185319999,0.004769515919770001,12107279.8636,264492240.455
3,"Jan 08, 2019",0.00416905016624,0.004514445725770001,0.004089145844280001,0.0043821909053799995,7026686.38465,243013234.501
4,"Jan 07, 2019",0.00435107478321,0.00437263950585,0.00415887534184,0.0041761379215400005,5226528.032790001,231586620.92700002
5,"Jan 06, 2019",0.00408066698838,0.0044144332025699996,0.00403752280573,0.00434015640653,5957396.10133,240682222.515
6,"Jan 05, 2019",0.0040928464139299995,0.00415376796258,0.00406678085466,0.004073955649,4724991.56224,225920130.102
7,"Jan 04, 2019",0.0040542981617800004,0.00413345066828,0.00399111814976,0.00409382952437,4357275.13755,227022230.59
8,"Jan 03, 2019",0.00423755038804,0.00424491455964,0.00399943337322,0.004051076856539999,4319408.67177,224651392.73400003
9,"Jan 02, 2019",0.00414823804658,0.00425189881454,0.0040559612652,0.004231283553360001,5331170.54832,234644707.315
10,"Jan 01, 2019",0.00398045374298,0.00415480201164,0.00384601987267,0.00414504622513,4902157.95894,229862439.148
11,"Dec 31, 2018",0.0042245232287699995,0.00424028171987,0.003932067767449999,0.003972173886,5785271.230330001,220275849.428
12,"Dec 30, 2018",0.00415876609777,0.00427883512833,0.004116029326,0.00421803350077,5549173.76559,233909929.163
13,"Dec 29, 2018",0.0043997332050699995,0.00444708677757,0.00415497077104,0.00415497077104,6145706.34399,230412802.21
14,"Dec 28, 2018",0.00392727072632,0.004485796390149999,0.0038661599889699997,0.00437878770532,6489024.03876,242824510.944
15,"Dec 27, 2018",0.00441387048079,0.00443832458666,0.00391105842527,0.00392100354643,5732770.6534400005,217438211.817
16,"Dec 26, 2018",0.00438412176696,0.00454942194964,0.0042675102143,0.004405420283770001,4614862.47536,244301413.51900002
17,"Dec 25, 2018",0.00480591371386,0.00480800995692,0.00420377984546,0.0043783643701,7209293.429280001,242801035.002
18,"Dec 24, 2018",0.00471442717379,0.00533757299136,0.00471442717379,0.0047949413536499995,11846498.9295,265902201.148
19,"Dec 23, 2018",0.0046376725247399995,0.00489252353065,0.004628922205229999,0.00472153447182,6711657.51468,261831441.98400003
20,"Dec 22, 2018",0.0044660649711,0.004710020413350001,0.004334952996100001,0.00463821672224,7190145.99103,257211078.277
21,"Dec 21, 2018",0.0045676351825600005,0.00493469541729,0.00432887615824,0.00447556881253,11186891.4963,248191481.57799998
22,"Dec 20, 2018",0.0041846593929,0.00460753279567,0.0041600171024300005,0.0045749122348300005,9315861.71437,253700544.716
23,"Dec 19, 2018",0.00417552076958,0.00453085944626,0.0041145262391,0.00422029897182,10218552.1693,234035560.259
24,"Dec 18, 2018",0.00403317459745,0.0041418113426700005,0.0037938693828,0.00413726171786,7001588.29424,229430751.36200002
25,"Dec 17, 2018",0.0034216422062899998,0.00410410448637,0.0034136954035000003,0.00403159955836,9844027.82777,223571284.32900003
26,"Dec 16, 2018",0.0033585945047500004,0.00349130953221,0.0033585945047500004,0.00342019554292,3574674.57141,189666036.79700002
27,"Dec 15, 2018",0.0033821991528899995,0.0034244822919,0.00328216785815,0.00336008000589,3104697.18279,186332345.633
28,"Dec 14, 2018",0.00353558363129,0.00354538943163,0.00332281346844,0.0033792380955500003,4710615.68468,187394752.415
29,"Dec 13, 2018",0.00374283752526,0.00374713912968,0.0034877952685100004,0.00352772123838,4683647.40137,195628845.723
30,"Dec 12, 2018",0.0037216684143,0.0038112910003699997,0.0036433987411799997,0.0037290109706,6205459.76072,206791314.44099998
31,"Dec 11, 2018",0.00382780214597,0.0038701926060599997,0.00366920375258,0.00372971930903,4198654.903609999,206830595.16099998
32,"Dec 10, 2018",0.0040701194962700004,0.0041071248781299995,0.0037724129251999997,0.0038331193123799998,5930515.1057,212564614.925
33,"Dec 09, 2018",0.0039052794917399996,0.00418365429265,0.0038745611170999997,0.00407020094148,6597734.87418,225711913.792
34,"Dec 08, 2018",0.00392154841759,0.00409525284448,0.00374219812815,0.0039073033885900004,7447190.8566,216678473.197
35,"Dec 07, 2018",0.00413807133126,0.00413807133126,0.00366828552115,0.0039200744719199996,12882280.7025,217386690.23700002
36,"Dec 06, 2018",0.0044579670223599994,0.004833295261399999,0.004111991182380001,0.004111991182380001,10483262.3234,228029380.51900002
37,"Dec 05, 2018",0.00462453346541,0.004670403643569999,0.0043966469118100005,0.00443311243363,7530495.9531,245837074.346
38,"Dec 04, 2018",0.00453442595474,0.00490255686441,0.004420348209119999,0.00460729591127,7610618.382180001,255496372.905
39,"Dec 03, 2018",0.004932240948159999,0.004947862446270001,0.00444669315189,0.004542102126439999,7566013.659530001,251881068.85599998
40,"Dec 02, 2018",0.00505398458133,0.00519515493137,0.00483305537546,0.00492287497297,7230608.206,272996726.08
41,"Dec 01, 2018",0.00478436938458,0.0052148569944300005,0.00466467176579,0.00506639802039,7244018.45471,280955758.612
42,"Nov 30, 2018",0.0053294793954699994,0.00533762868657,0.0045394723225,0.00476678478762,10048523.1329,264340786.246
43,"Nov 29, 2018",0.00527072604746,0.00569076112998,0.00499266711995,0.00531621132549,11329440.048,294809089.196
44,"Nov 28, 2018",0.0044158,0.00550023,0.0044158,0.00524206,15663000.0,290697047.106
45,"Nov 27, 2018",0.00431073,0.00449815,0.00414561,0.00442118,7394600.0,245175364.403
46,"Nov 26, 2018",0.00466957,0.00482545,0.00415315,0.00433429,8320570.0,240356902.496
47,"Nov 25, 2018",0.00451859,0.00481467,0.00395637,0.00468677,8739310.0,259903587.41900003
48,"Nov 24, 2018",0.00515923,0.00529604,0.00441404,0.00452435,6614770.0,250896629.39200002
49,"Nov 23, 2018",0.0052308,0.00527794,0.00496212,0.00516383,8181900.0,286358823.202
50,"Nov 22, 2018",0.00580599,0.00587196,0.00526188,0.00526188,7453420.0,291796159.949
51,"Nov 21, 2018",0.00533767,0.00596447,0.00520683,0.00579905,12096500.0,321584779.842
52,"Nov 20, 2018",0.00602788,0.0063111,0.00501305,0.00529585,17991200.0,293679957.291
53,"Nov 19, 2018",0.007656399999999999,0.00767372,0.00589391,0.00603354,19730300.0,334588360.605
54,"Nov 18, 2018",0.00770835,0.00778761,0.0075864999999999995,0.00766213,9844660.0,424901387.15300006
55,"Nov 17, 2018",0.00771869,0.00772689,0.00747114,0.00770023,10458300.0,427014212.549
56,"Nov 16, 2018",0.00794407,0.008062399999999999,0.00758916,0.00772222,10133600.0,428233662.167
57,"Nov 15, 2018",0.00840621,0.00863462,0.0071373999999999995,0.00797397,13486900.0,442194391.65300006
